Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Coalition planes massacred these children in airstrikes
On #Hit ,#Anbar
http://t.co/yCsEgkwDY6#Iraq",Propaganda,Iraq,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"these PKK fellas are exceptional liars.after the
city was almost fully abandoned by civilians,
they now claim 55 thousand civilians there.",Propaganda,Iraq,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"This is so awesome. US airstrikes also by mistake
hit a Shia militia convoy near Tuz
http://t.co/zUwWcEzBzk 2nd one after the Jabour
Strikes",Propaganda,Iraq,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"RT @ImtiyazAzhar: Support &amp; love for #IslamicState from #Kashmir. 
""We rise by ISIS, We live by ISIS, We stand by ISIS"" https://t.co/qwrDJM…",Propaganda,India,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Ask the Americans how they liked fighting
JTJ/AQI/MSC/ISI in street wars in Ramadi,Fallujah etc",Propaganda,USA,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Amazing thing about Kobane:not a single
genuine claim of massacres of civilians. Not
one.Meanwhile, Assad keeps killing kids in
Aleppo",Propaganda,Syria,USA,
"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,"The assassination of a terrorist, Jehad Maghnyah, by an alleged Israeli strike.",Propaganda,Israel,Jordan,
"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,Falling oil prices will lead to the downfall of Putin and Alassad.,Propaganda,Russia,Jordan,
"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,"Our Shaikh is holding fast, praying to Allah to hold our brothers.",Propaganda,Iraq,Jordan,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,"We have brothers from Bangladesh,  Iraq,  Cambodia,  Australia,  UK.,  nothing  has  guided  us  except  to  make Allah’s word the highest",Propaganda,"Bangladesh,  Iraq,  Cambodia,  Australia,  UK",USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,We will fight until there is no more fitna,Propaganda,Iraq,USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,IS understands no borders,Propaganda,Iraq,USA,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"It flows till it reaches or meets its destination and ‘In Shaa Allah’ our struggle will reach
to its destination when it breaks the shackles & barricades of Indian occupation and
Kashmir will get its freedom from the oppression and slavery of Indian blood socked
hands and claws. We will flow till we achieve our mission/objective.",Propaganda,India,India,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"First of all, I am happy to see a lot of changes in my home land, our youth is our
capital. Alhamdulillah, Majority of young guys are coming voluntarily to join armed
struggle against terrorist Indian army who are accused of killing 3 lakh innocent
peoples in Kashmir.",Propaganda,India,India,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"This Wyeth is just an initiative to expose the Indian claims which it tries to propagate
through media and tries to show to the world and ‘In Shaa Allah’ we will expose the
India and its stooges at every stage possible",Propaganda,India,India,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"India has not only occupied our land but also has been trying to occupy our minds by
introducing and propagating anti-Islam and anti-Kashmir things in such a way that
most of the people think good of it but the reality is something else.",Propaganda,India,India,
"Winter ""Media Jihad:The Islamic State’s Doctrine for Information Warfare""",Research Article,"Have you not seen the photographer, how he carries a camera instead of a Kalashnikov and races before the soldiers in raids, welcoming bullets in his chest with open arms?! Have you not seen the brigades that disseminate videos and pamphlets? How they enter into the most dangerous and fortified areas to circulate the mujahidin’s productions in the heart of the hypocrites’ den?! Have you not seen how dedicated the media operative is in gathering intelligence on the enemy’s movements and following the work of the brothers as they monitor the news of the enemy?",Propaganda,Iraq,USA,
"Welch ""Theology, heroism, justice, and fear: an analysis of ISIS propaganda magazines Dabiq and Rumiyah""",Research Article,"On 7 August 2014, the crusader apostate Barack Obama announced to the world thecontinuation of the American crusade against Islam and the Muslims of Iraq, only toprove to his followers that there is no difference between his partisan politics and that ofhis predecessor–Bush. So while genocide is committed by the Maliki, Assadi, and Israeliforces against the Muslims via systematic massacres, chemical warfare, rape, and starvationby siege, Obama watches with euphoria.",Propaganda,"USA, Iraq",USA,
"Kohen et.al ""The Making of a Hero: Cultivating Empathy, Altruism, and Heroic Imagination """,Research Article,"The rulings on those who refrain from making takfir of mushrikin who claim islam and those who refrain from making takfir of Sahwah factions who claim jihad are important matters taht should be addressed , as they are related to matter of tawhid and iman, the heart and soul of the religion. Thus one of the chief offices of the Khilafah -the Central Office Overseeing Shar’i Dawawin addressed the issues in two memorandums, which will be quoted below.",Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdulrahman-tn-aka-tawheednetwrk,Website,I am #Muslim therefore I am against #Secularism,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abdulrahman-tn-aka-tawheednetwrk,Website,I am #Muslim therefore I am against #Democracy,Propaganda,-,USA,
