ID,Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation
1,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Coalition planes massacred these children in airstrikes
On #Hit ,#Anbar
http://t.co/yCsEgkwDY6#Iraq",Propaganda,Iraq,USA
2,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"these PKK fellas are exceptional liars.after the
city was almost fully abandoned by civilians,
they now claim 55 thousand civilians there.",Propaganda,Iraq,USA
3,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"This is so awesome. US airstrikes also by mistake
hit a Shia militia convoy near Tuz
http://t.co/zUwWcEzBzk 2nd one after the Jabour
Strikes",Propaganda,Iraq,USA
4,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"RT @ImtiyazAzhar: Support &amp; love for #IslamicState from #Kashmir. 
""We rise by ISIS, We live by ISIS, We stand by ISIS"" https://t.co/qwrDJM…",Propaganda,India,USA
5,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Ask the Americans how they liked fighting
JTJ/AQI/MSC/ISI in street wars in Ramadi,Fallujah etc",Propaganda,USA,USA
6,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Amazing thing about Kobane:not a single
genuine claim of massacres of civilians. Not
one.Meanwhile, Assad keeps killing kids in
Aleppo",Propaganda,Syria,USA
7,"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,"The assassination of a terrorist, Jehad Maghnyah, by an alleged Israeli strike.",Propaganda,Israel,Jordan
8,"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,Falling oil prices will lead to the downfall of Putin and Alassad.,Propaganda,Russia,Jordan
9,"Fraiwan ""Identification of Markers and Artificial Intelligence-Based Classification of Radical Twitter Data""",Research Article,"Our Shaikh is holding fast, praying to Allah to hold our brothers.",Propaganda,Iraq,Jordan
10,"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,"We have brothers from Bangladesh,  Iraq,  Cambodia,  Australia,  UK.,  nothing  has  guided  us  except  to  make Allah’s word the highest",Propaganda,"Bangladesh,  Iraq,  Cambodia,  Australia,  UK",USA
